iter	Passed	Remaining
0	1	2184
1	3	2308
2	5	2259
3	6	2059
4	8	2080
5	9	2145
6	11	2179
7	13	2150
8	14	2028
9	15	2016
10	16	1972
11	17	1924
12	19	1916
13	20	1902
14	22	1906
15	23	1896
16	25	1903
17	26	1907
18	28	1910
19	29	1905
20	31	1893
21	32	1893
22	33	1851
23	34	1846
24	36	1847
25	37	1846
26	39	1845
27	40	1835
28	41	1809
29	42	1798
30	43	1773
31	44	1763
32	45	1745
33	46	1744
34	48	1749
35	49	1754
36	51	1750
37	52	1739
38	53	1735
39	55	1736
40	56	1735
41	57	1735
42	58	1720
43	60	1721
44	61	1711
45	62	1709
46	64	1709
47	65	1709
48	67	1712
49	68	1712
50	69	1712
51	71	1712
52	72	1704
53	73	1689
54	74	1689
55	75	1682
56	76	1670
57	78	1670
58	79	1669
59	80	1668
60	82	1669
61	83	1672
62	85	1670
63	86	1669
64	87	1665
65	88	1658
66	90	1658
67	91	1655
68	92	1646
69	93	1643
70	94	1636
71	95	1636
72	97	1634
73	98	1633
74	100	1633
75	100	1622
76	102	1620
77	103	1618
78	104	1609
79	105	1607
80	106	1606
81	108	1604
82	109	1602
83	110	1601
84	111	1597
85	113	1596
86	114	1591
87	115	1589
88	116	1590
89	118	1589
90	119	1581
91	120	1581
92	121	1579
93	122	1575
94	123	1565
95	124	1563
96	125	1559
97	126	1557
98	128	1554
99	129	1552
100	130	1551
101	131	1550
102	133	1550
103	134	1548
104	135	1544
105	136	1542
106	138	1541
107	139	1539
108	140	1538
109	142	1537
110	143	1535
111	144	1529
112	145	1528
113	146	1526
114	147	1525
115	149	1524
116	150	1524
117	152	1523
118	153	1523
119	154	1521
120	156	1521
121	157	1519
122	158	1517
123	159	1513
124	160	1511
125	162	1510
126	163	1508
127	164	1507
128	165	1505
129	167	1504
130	168	1502
131	169	1501
132	170	1499
133	172	1499
134	173	1497
135	174	1492
136	175	1491
137	176	1487
138	177	1485
139	179	1484
140	180	1483
141	181	1481
142	183	1480
143	184	1480
144	185	1476
145	186	1475
146	187	1473
147	189	1472
148	190	1471
149	191	1470
150	192	1468
151	194	1466
152	195	1465
153	196	1465
154	198	1464
155	199	1463
156	200	1462
157	201	1457
158	202	1455
159	203	1452
160	204	1447
161	205	1446
162	207	1445
163	208	1445
164	209	1444
165	211	1442
166	212	1441
167	213	1440
168	215	1439
169	216	1438
170	217	1437
171	218	1434
172	219	1430
173	220	1429
174	222	1427
175	223	1426
176	224	1425
177	226	1424
178	227	1423
179	228	1422
180	229	1420
181	231	1419
182	232	1419
183	233	1418
184	235	1416
185	236	1415
186	237	1414
187	238	1413
188	240	1412
189	241	1411
190	242	1409
191	243	1406
192	245	1405
193	246	1404
194	247	1403
195	249	1402
196	250	1401
197	251	1400
198	252	1396
199	253	1394
200	254	1391
201	255	1390
202	257	1389
203	258	1388
204	259	1387
205	260	1385
206	262	1384
207	263	1382
208	264	1381
209	266	1381
210	267	1380
211	268	1379
212	269	1377
213	271	1376
214	272	1373
215	273	1372
216	274	1371
217	275	1367
218	276	1363
219	277	1362
220	278	1361
221	280	1360
222	281	1359
223	282	1357
224	284	1357
225	285	1355
226	286	1354
227	287	1354
228	288	1351
229	290	1350
230	291	1348
231	292	1346
232	293	1345
233	295	1344
234	296	1343
235	297	1342
236	299	1341
237	300	1340
238	301	1339
239	302	1338
240	303	1335
241	305	1334
242	306	1333
243	307	1332
244	308	1329
245	309	1327
246	311	1326
247	312	1325
248	313	1324
249	315	1323
250	316	1320
251	317	1319
252	318	1318
253	319	1317
254	321	1316
255	322	1314
256	323	1313
257	325	1312
258	326	1311
259	327	1310
260	328	1309
261	330	1308
262	331	1307
263	332	1306
264	333	1303
265	335	1302
266	336	1300
267	336	1296
268	337	1295
269	339	1294
270	340	1291
271	341	1290
272	342	1289
273	343	1287
274	345	1286
275	346	1284
276	347	1283
277	348	1281
278	349	1279
279	351	1278
280	352	1277
281	353	1276
282	354	1275
283	355	1272
284	356	1270
285	358	1269
286	359	1268
287	360	1267
288	361	1265
289	362	1262
290	363	1261
291	365	1260
292	365	1257
293	367	1256
294	368	1255
295	369	1252
296	370	1251
297	371	1250
298	373	1249
299	374	1248
300	375	1246
301	376	1244
302	377	1243
303	379	1242
304	380	1241
305	381	1240
306	383	1239
307	384	1238
308	385	1237
309	387	1236
310	388	1234
311	389	1233
312	390	1232
313	392	1230
314	393	1229
315	394	1228
316	395	1227
317	397	1225
318	398	1224
319	399	1223
320	400	1222
321	402	1221
322	403	1220
323	405	1220
324	406	1219
325	407	1218
326	409	1217
327	410	1216
328	411	1215
329	413	1214
330	414	1213
331	415	1212
332	417	1211
333	418	1210
334	419	1209
335	421	1208
336	422	1207
337	423	1205
338	424	1204
339	425	1201
340	426	1200
341	427	1198
342	429	1197
343	430	1196
344	431	1195
345	432	1193
346	433	1191
347	435	1190
348	436	1189
349	437	1188
350	439	1187
351	440	1185
352	441	1184
353	442	1182
354	444	1181
355	445	1181
356	446	1179
357	447	1177
358	448	1174
359	449	1173
360	450	1172
361	452	1171
362	453	1169
363	454	1169
364	455	1167
365	457	1166
366	458	1165
367	459	1164
368	461	1163
369	462	1162
370	463	1161
371	464	1159
372	466	1158
373	467	1157
374	468	1156
375	470	1155
376	471	1154
377	472	1153
378	474	1152
379	475	1151
380	476	1150
381	478	1148
382	479	1147
383	480	1145
384	481	1144
385	482	1143
386	484	1141
387	485	1140
388	486	1138
389	487	1136
390	488	1135
391	489	1134
392	490	1133
393	492	1132
394	493	1131
395	495	1130
396	496	1129
397	497	1128
398	499	1126
399	500	1125
400	501	1124
401	502	1122
402	503	1121
403	504	1119
404	505	1118
405	507	1117
406	508	1115
407	509	1114
408	511	1113
409	512	1112
410	513	1111
411	515	1110
412	516	1109
413	517	1108
414	518	1106
